Date,Account value
4/3/2020,"4,708.75"
4/6/2020,"4,942.78"
4/7/2020,"4,932.24"
4/8/2020,"5,042.13"
4/9/2020,"5,105.43"
4/10/2020,"5,105.43"
4/13/2020,"5,097.07"
4/14/2020,"5,246.88"
4/15/2020,"5,167.32"
4/16/2020,"5,223.31"
4/17/2020,"5,302.04"
4/20/2020,"5,223.24"
4/21/2020,"5,069.69"
4/22/2020,"5,192.06"
4/23/2020,"5,174.57"
4/24/2020,"5,237.26"
4/27/2020,"5,280.47"
4/28/2020,"5,239.78"
4/29/2020,"6,354.06"
4/30/2020,"6,322.20"
5/1/2020,"6,187.71"
5/4/2020,"6,238.29"
5/5/2020,"6,262.78"
5/6/2020,"6,251.31"
5/7/2020,"6,300.02"
5/8/2020,"6,351.68"
5/11/2020,"6,384.55"
5/12/2020,"6,286.02"
5/13/2020,"6,229.39"
5/14/2020,"6,272.32"
5/15/2020,"6,286.19"
5/18/2020,"6,389.90"
5/19/2020,"6,355.32"
5/20/2020,"6,434.66"
5/21/2020,"6,375.64"
5/22/2020,"6,397.64"
5/25/2020,"6,397.64"
5/26/2020,"6,411.73"
5/27/2020,"6,451.45"
5/28/2020,"6,475.82"
5/29/2020,"6,532.23"
6/1/2020,"6,568.76"
6/2/2020,"6,617.06"
6/3/2020,"6,667.30"
6/4/2020,"6,630.28"
6/5/2020,"6,819.70"
6/8/2020,"6,900.72"
6/9/2020,"6,902.56"
6/10/2020,"6,923.38"
6/11/2020,"6,529.97"
6/12/2020,"6,604.45"
6/15/2020,"6,667.65"
6/16/2020,"6,796.11"
6/17/2020,"6,794.54"
6/18/2020,"6,805.05"
6/19/2020,"6,774.46"
6/22/2020,"6,850.68"
6/23/2020,"6,884.96"
6/24/2020,"6,722.67"
6/25/2020,"6,794.81"
6/26/2020,"6,635.30"
6/29/2020,"6,706.32"
6/30/2020,"6,828.83"
7/1/2020,"6,888.57"
7/2/2020,"6,924.37"
7/3/2020,"6,924.37"
7/6/2020,"7,067.66"
7/7/2020,"7,000.85"
7/8/2020,"7,094.09"
7/9/2020,"7,147.12"
7/10/2020,"7,175.60"
7/13/2020,"7,022.17"
7/14/2020,"7,109.39"
7/15/2020,"7,145.18"
7/16/2020,"7,083.89"
7/17/2020,"7,094.04"
7/20/2020,"7,294.72"
7/21/2020,"7,300.49"
7/22/2020,"7,378.73"
7/23/2020,"7,168.74"
7/24/2020,"8,190.65"
7/27/2020,"8,297.19"
7/28/2020,"8,213.48"
7/29/2020,"8,483.09"
7/30/2020,"8,380.76"
7/31/2020,"8,464.10"
8/3/2020,"8,614.87"
8/4/2020,"8,703.48"
8/5/2020,"8,739.44"
8/6/2020,"8,857.24"
8/7/2020,"8,770.52"
8/10/2020,"9,665.19"
8/11/2020,"9,443.13"
8/12/2020,"9,701.83"
8/13/2020,"9,703.81"
8/14/2020,"9,691.64"
8/17/2020,"9,785.84"
8/18/2020,"9,859.69"
8/19/2020,"9,805.59"
8/20/2020,"9,970.50"
8/21/2020,"10,038.35"
8/24/2020,"10,116.85"
8/25/2020,"10,226.45"
8/26/2020,"10,422.56"
8/27/2020,"10,407.80"
8/28/2020,"10,506.21"
8/31/2020,"10,582.71"
9/1/2020,"10,819.38"
9/2/2020,"10,924.35"
9/3/2020,"10,226.57"
9/4/2020,"10,028.61"
9/7/2020,"10,028.61"
9/8/2020,"9,543.56"
9/9/2020,"9,870.52"
9/10/2020,"9,626.76"
9/11/2020,"9,538.56"
9/14/2020,"9,699.08"
9/15/2020,"9,825.99"
9/16/2020,"9,633.74"
9/17/2020,"9,488.47"
9/18/2020,"9,327.39"
9/21/2020,"9,359.67"
9/22/2020,"9,552.66"
9/23/2020,"9,197.02"
9/24/2020,"9,264.74"
9/25/2020,"9,522.87"
9/28/2020,"9,725.80"
9/29/2020,"9,701.23"
9/30/2020,"9,789.17"
10/1/2020,"9,983.68"
10/2/2020,"10,692.77"
10/5/2020,"10,965.82"
10/6/2020,"10,723.37"
10/7/2020,"10,961.65"
10/8/2020,"11,028.78"
10/9/2020,"11,172.26"
10/12/2020,"11,510.34"
10/13/2020,"11,515.77"
10/14/2020,"11,400.24"
10/15/2020,"12,321.18"
10/16/2020,"12,264.36"
