Date, Open, High, Low, Close
5/24/2019,2832.41,2841.36,2820.19,2826.06
5/28/2019,2830.03,2840.51,2801.58,2802.39
5/29/2019,2790.25,2792.03,2766.06,2783.02
5/30/2019,2786.94,2799,2776.74,2788.86
5/31/2019,2766.15,2768.98,2750.52,2752.06
6/3/2019,2751.53,2763.07,2728.81,2744.45
6/4/2019,2762.64,2804.49,2762.64,2803.27
6/5/2019,2818.09,2827.28,2800.92,2826.15
6/6/2019,2828.51,2852.1,2822.45,2843.49
6/7/2019,2852.87,2884.97,2852.87,2873.34
6/10/2019,2885.83,2904.77,2885.51,2886.73
6/11/2019,2903.27,2910.61,2878.53,2885.72
6/12/2019,2882.73,2888.57,2874.68,2879.84
6/13/2019,2886.24,2895.24,2881.99,2891.64
6/14/2019,2886.82,2894.45,2879.62,2886.98
6/17/2019,2889.75,2897.27,2887.3,2889.67
6/18/2019,2906.71,2930.79,2905.44,2917.75
6/19/2019,2920.55,2931.74,2911.43,2926.46
6/20/2019,2949.6,2958.06,2931.5,2954.18
6/21/2019,2952.71,2964.15,2946.87,2950.46
6/24/2019,2951.42,2954.92,2944.05,2945.35
6/25/2019,2945.78,2946.52,2916.01,2917.38
6/26/2019,2926.07,2932.59,2912.99,2913.78
6/27/2019,2919.66,2929.3,2918.57,2924.92
6/28/2019,2932.94,2943.98,2929.05,2941.76
7/1/2019,2971.41,2977.93,2952.22,2964.33
7/2/2019,2964.66,2973.21,2955.92,2973.01
7/3/2019,2978.08,2995.84,2977.96,2995.82
7/5/2019,2984.25,2994.03,2967.97,2990.41
7/8/2019,2979.77,2980.76,2970.09,2975.95
7/9/2019,2965.52,2981.9,2963.44,2979.63
7/10/2019,2989.3,3002.98,2984.62,2993.07
7/11/2019,2999.62,3002.33,2988.8,2999.91
7/12/2019,3003.36,3013.92,3001.87,3013.77
7/15/2019,3017.8,3017.8,3008.77,3014.3
7/16/2019,3012.13,3015.02,3001.15,3004.04
7/17/2019,3005.1,3005.26,2984.25,2984.42
7/18/2019,2978.87,2998.28,2973.09,2995.11
7/19/2019,3004.26,3006.02,2975.86,2976.61
7/22/2019,2981.93,2990.71,2976.65,2985.03
7/23/2019,2994.74,3005.9,2988.56,3005.47
7/24/2019,2998.77,3019.59,2996.82,3019.56
7/25/2019,3016.26,3016.31,2997.24,3003.67
7/26/2019,3013.25,3027.98,3012.59,3025.86
7/29/2019,3024.47,3025.61,3014.3,3020.97
7/30/2019,3007.66,3017.19,3000.94,3013.18
7/31/2019,3016.22,3017.4,2958.08,2980.38
8/1/2019,2980.32,3013.59,2945.23,2953.56
8/2/2019,2943.9,2945.5,2914.11,2932.05
8/5/2019,2898.07,2898.07,2822.12,2844.74
8/6/2019,2861.18,2884.4,2847.42,2881.77
8/7/2019,2858.65,2892.17,2825.71,2883.98
8/8/2019,2896.21,2938.72,2894.47,2938.09
8/9/2019,2930.51,2935.75,2900.15,2918.65
8/12/2019,2907.07,2907.58,2873.14,2883.75
8/13/2019,2880.72,2943.31,2877.05,2926.32
